tag,comments
None-of-the-above,neel  pottalam modhha irukum...adha solli iruka orutha..un pottalam semaya iruku nu.
Misandry,Dai thavidiya paiya naaya una yaarda Mohammed naabi paati paasasonnathu unnaku yaanathariyum
None-of-the-above,Enaku Romba  naala ve  oru  doubt  Tamilnadu LA ; Yar  hindu???? ;  Fake  Matham  illa tha Oru Matham thane  hindu  apdi Ya???
None-of-the-above,Ongalai saga manitha inmaaga paakkathavargal mananoyaligal
Transphobic,Nalla thirunangaigalum irukirargal athu puriyamal yaaraium kurai kooraathir. Entha thirunagaigalai thittinala poothum
Transphobic,Eva pombalayaa Illa ambalayaa Illa 9 tha?
Counter-speech,THAMBI KONJAM PORUNGA #KARUPPAR KOOTTAM# YOUTUBE LA PARUNGA ILLANA VAALMIGI RAAMAYANAM PADINGA THIRUPPAAVAI PADINGA KANNUKKU THERIYADHA KADAULAI VAITHU VIYABARAM PANNADHINGA
None-of-the-above,Semma Vera level ah panringa
Hope-Speech,Anbu S Anbu  nammaivida kastapaduravangalai parthu manasa thethikanum ma
Homophobia,Vairamuthu mannippu kekka vendum illai entral avan sunniya umbi thalliduven ippadikku kooja
None-of-the-above,Bro three daysa moon theriyala ethum prblma nu konjam kandupidichu sollunga bro
None-of-the-above,Seiyakoodadhunu mudivu edututha eduvum panamudiyadhu
Misogyny,Vijay Priya enna erundalum adu avanga piriyam....avanga kudumba pratchanai.....adula naama pesa entha orimaiyum ella...unga kanotamum en kanotamum vera....adunala ungala nan prostitutenu kupita othupingala???
Misogyny,aii black colour saree aru de unaku aluthi kuduthu padikasonaka.mucha par unalam thidurathuku kavalamana varithi ella neya fill paniko ........
Misogyny,14:50 The****ya naye un amma paavam avangakuda un life ah compare panra... Ne than lesbian nay un amma ponbala thana... Una pethathuku itha pathangana sethuduvanga...
None-of-the-above,Pengalay parthu poramaipadum..peralazhigi ma neenga...💕💕💕💟💟 I love shivaperuman that much..🙏🙏🙏:-). Unga blessing venum ma.... 😇😇
None-of-the-above,Antha sagothari kaga oru like👍
None-of-the-above,Dei prank la epdi da camera angle la set panni edukka mudium 100% scripted nu pachaya theriyuthu da ithuku neenga shortfilm eh eduthurukalam da
None-of-the-above,Athuku aprm ennachinu podala bro
None-of-the-above,naveen kumar  what's app vanga
None-of-the-above,evan epdi irupaan nu ini epdi theriyum? enna nu kalyanam panni vaazhradhu. mudiyala da saami
Misandry,yevanda aandala thappa pesunathu unga ammala pesuna ipdithan iruppiya
Counter-speech,Crt ah sonninga indha maari eththana video pottalum oru sila nadhari thirundhadhunga example my hus maari ullavanuga thirundha maattanga indha video ah en hus pakanumnu idha pottu vitutu kitchanku velaya poiten aana en hus title paarthutu video stop pannitu pubg vilayaditu irukan enna maari ponnunga niraya per idhea varuthathula nirupinga engaluku aarudhal ellam hus mattum dhan aana andha aarudhal dhan kidaikadhu purinjukavum matanga respectum koduka matanga ivalavu yean manusiya kooda madhikka matanga oru sila aambalainga 😔😔💔💔
None-of-the-above,Plz respond to my dm _kal.ek_
None-of-the-above,Chutti payyan sam  good morning
Misandry,veera vaanjinatha priyan veera tamil singam dai thevidiya paiya pollachi la un amma akka thangachi ya otthutangala atha kekaliya h raja
None-of-the-above,Unga number send panna mudiuma bro pesalam virupam iruntha illana venda bro
None-of-the-above,Nice malini ....I like ur attitude thozhi .....
None-of-the-above,Ram nee happy ya eru da
None-of-the-above,Veara mari  I like you sister
None-of-the-above,Karikalant N  I agree with u  sir
None-of-the-above,Hi bro u mobile number sent pana bro
None-of-the-above,Namma akka ketta paru kelvi
None-of-the-above,yara iruntha yena un veetu laa vidu ne ipadi iruntha ne yena panuva .....first yelarum mind aa purinjutu pesunga yelarum....all r nature ... alvo pesura aal..yen after marriage ku apm yen kalla kadhal panuranga athula sari ya ....
None-of-the-above,Warning - Wanted ah Vandhu maatadhinga daaw. Naan green ah pesuven 😂
None-of-the-above,Subramaniyan Swamy kitta case vandirikku.nee matta pore senthil
None-of-the-above,Waiting for part 2 plsss....sekkiram podhugaa..
None-of-the-above,Bro part 2 eppa varum
None-of-the-above,I am a blessed girl...enaku kedachavar thangamanavar....
None-of-the-above,Nenga sollatha varikum ivunga transgender nu therila
Misandry,Pengalidam waradhatchanai waangum aangal tannampikkai illadha koolaihal
None-of-the-above,IVANUKKU ROMBHA NALLA MANASU IRUKKU MY FRD DINESH
None-of-the-above,I love your  attitude 😘😘😘
Hope-Speech,Ithu iyarkai ku maaranathu nu solrathu thappu.... ithuvum iyarkai thaan....
Xenophobia,ahamil oli dei pakistani thulukka thayvidiyaa payalay!un pondaati pala varushamaa un pakkaththu veetu iyengar uncle kooda paduththu jalsa panraa!labbai karuppu thulukkanungalai Ceylonla prabakaran suttu kondraar!yane?Ceylonla Tamil thulukkanunga singala naaigalukku Tamilargalai kaati kuduththu thulukka ponnungalai kooti kuduththaanga!un 9 pundaiyai mooditu po di loosu koodhi!😀😁😂
None-of-the-above,En husband um aptithan na adimai mathiri than erukkan
None-of-the-above,BROTHER Zee 5 app la full episode irukku bro search tamizha tamizha episode2 bro
None-of-the-above,Tamilar kal  chiristians  and  more  religions  people kuda  aathi  kalathula irunthe  anba  palagarathu  tha unnmai ; Intha  Hindi  naikal  mattru  athuku  sompu Thukkara  sila  history  theriyatha  unna Marri  aalunga ipdi tha  Matham  Pathi  pesuvinga ; Yenada periya  vengaya mozhi  Hindi ; Ne  hindu na  Hindi la pesu da  Arivu ketta  porampokku
Misandry,Vijay TV tittam pottu aangali kevalappaduttudu
Misandry,Really varathatchana kettukaga athalatha Ennoda life pochila  boys  Ellarum nallavagalum Ella kattavagalum erukaga
Hope-Speech,super bro.  thirunangaigal nalla manasu yellathukum   purinchika mudiuthu.
None-of-the-above,Yealla countriyum  dhunku kerathu
None-of-the-above,Arul Kulangiyappan  u age bro
None-of-the-above,Adha neengalay avanga kitta kaytu therinjekonga
None-of-the-above,madhavaraj madhavaraj  number ellerum parpanga
Misogyny,Otha tha***ya antha ko**i helicopter la vanthu eranga nanacha thu mattu olunga ....avulu ku la ippudi tha irrukanu ...naa mattu meme creator ah irruntha ava la gaali
None-of-the-above,Vijay Kumar  call me i teel you
None-of-the-above,Namba jenam vedika pakkum eppadi than
None-of-the-above,Babu Natarajan  I'm Vellore ag 32
Xenophobia,ama ellam sakattum avanukalalathan ithu ellam
None-of-the-above,Super ji...nice ..unga social messages.. super...
Misogyny,Sandy R  ne avala sappi sappi dha ipadi sappi poitala 😂😂😂🤣🤣🤣🤣🤣 soothu sappingala 😂😂😂🤣🤣🤣 sappurathuku ungalukulla poti vera 😂😂🤣🤣🤣
None-of-the-above,Akka akka na  fill aaitan
Misandry,Echa rajaku itha polapu . Evana biharku poganum . Sharama nai ivan . Pinchu pona nai . Onai .panni .
None-of-the-above,Hi good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good call me 7307078896
Misandry,Da arivekata pasagala apdi da ungalakkala dislike pannra manasa vartha
None-of-the-above,Ungka kitta neraya vishayam yapdilam erukanumnu kathuden....🤗ungka life la nallathey nadakum...
Xenophobia,Gujarat Kara Anna unnoda naakula sani; Pirikiriyada naayae thamizhanaï
None-of-the-above,Seeman anduthu.. Pari... Unala oru mairum punduga mudiyathu... Sattai... Naki? 😁😁.. Yena panuva. Apdi than soluven yena panuva...?. Saveu...
Xenophobia,Ore oru bomb mottha china um close....
None-of-the-above,Bro Naan cinema feeling scene partha than azhuthu iruka aana unmaiyaa kannula thanni vanthutea iruku athulayum avanga ungalukaga dance aadunanga paranga avanga anga nikuranga love u bro then first time unga video pakuran
None-of-the-above,Enakku mottham 27 per uyir nanbarkal adhil 19 per hindukkal..dei maappula ennaadaa..dei enkedaa irukke vehamaa vaadaa padam poda poraange..indha suham enakku enkeyume kidaikkaadhu.
Misandry,raja oru theavadiya paya ne oru theavadiya poda koya oluka
Transphobic,Police keta police ah kalaichruvanga transchendar
None-of-the-above,Bro kadal kanni pathi sollunga
None-of-the-above,Enaku 19 age la irunthu mappillai parkkanga enga v2la 10 savaran poda mudium anal enga caste la 10 savaran pathathu 30 savaran minimum kekranga ippo enaku 24 age innum varathatchai oliyala innum evlo girls valkaiye alika poringlalo therila
Misandry,Aga sattai duraimurugan ORU pottai enkirirgala.....?
None-of-the-above,Ganeshan is best.. seeman is worsted
None-of-the-above,Anand sinivasan sir a great man
Misandry,Nalla amma ku poranthavan mattum thaan ketpanuka namma thala eluthu
None-of-the-above,Babu Natarajan  frnd seekiram parkanum
None-of-the-above,Psr family put some like
None-of-the-above,you will get a gud partner
Counter-speech,Hello sister nenga pesarathu thapu unku vangi kudkara things elam nenga tha use pandringa  namba tha purinchiko mapla vetaru ena kekaranga avanga ethum kekarthila namku sothu thevaila nama vedu nala iruntha pothum nama nala valarathu veda nama anna thambi nala iruntha tha nama nala vala mudium
None-of-the-above,Yelayin  sirippil iraivanai kanbom nanba ❣❣
None-of-the-above,ravi kumar  callme I'm thirupur
None-of-the-above,Dude unga n.o thara kedaikuma
None-of-the-above,Mariana trench pathi video panunga plz plz plz bro panunga
None-of-the-above,5:04 she looks like varalakshmi na??!
None-of-the-above,Anna video vera leave anna
Xenophobia,Pesave pesadhega... China va close pannunga.. apdi oru naadu vendam
Hope-Speech,Amutha Amutha  kandippa oru naal unga kanavar ungalai purinjikuvar sis dont feel .naan ethum manasa kastapaduthiruntha really sorry pa
None-of-the-above,Sakthivel Kirubakaran  hi friend uroorethu
None-of-the-above,Pondatti pecha endha veetla dhan kekala😂😂
Xenophobia,PUBG ah Ban Panna Theridhu  indha China 🇨🇳 pasagangala Ban Panna mattikkala
Counter-speech,Mathu Suthanan  adhu illa bro .... Innu periya position la irukura niraya peru dowry kekuranga.... sila peru dha apdi illa..... Most ah dowry kekuravangala irukanga...... Seekiram ah maarum ella
Hope-Speech,Aashiq anna superah interview pandringa
Misandry,Thevidiyaluku porandha Echa raja ungamoma thevidiya koodhi aratha sariya irukum da Echa poriki
Transphobic,9. Morattu single ku ponnungala pudikathu da😭😭😭😭
None-of-the-above,That guy is tik tok guy I mean hand stamping guy
None-of-the-above,Theivame enna polave irukkingale. Payathula nanum alli l; Potruven
Homophobia,worlds comes to end soon.... ivala madhiri koothiyelam mudhala tamil natta vitu veliya thorathuna pothum... un amma vera oruthi koda pooi iruntha ne irunthiruka mata
Homophobia,Daniel rajkumar  athu k avangaloda relationship ha personal ha vachikkonga yaarukkachum theriya pogutha enna .En velila solli ipdi pandringa ithukku munna paiyan ponnu thaniya pona thappa pesuvanga aana ippo rendu pasanga onna ponavey thappa pesuvanga polaye  intha ulagathula innum enna enna nadakka pogutho
None-of-the-above,Aswin 123  ena areaya nenga?
None-of-the-above,Raju Bhai  Hi iam sathya gay life bartner charg
None-of-the-above,Karthick Balaji  pochi... irundha konja nanja nambikaiyum pochi
Hope-Speech,G A U T I  Ada Neenga vera bro naane edhir paakala enaku ovoru naalu paithiyame pudichikum but my husband is a gem Oru Vela engalukulaiyum misunderstanding irundhirundha kandippa married life eh verithirullen.and all the best for u
None-of-the-above,I'm the biggest fan of transgender
None-of-the-above,Aapka No sand me friend
Misogyny,Kadhayalla Nijam Ina d potta poolu venuma ?
Xenophobia,pravin soundar  vantheri aariya PARPANAN thanda nee...mudittu kilambu... Ella naari poidum
Xenophobia,inthe china karenege ellatiyum tinna appe ya sikevarete
Hope-Speech,+Ashuu Sayyed .....yalla nalladhuku tha friend. don't feel.
Misandry,bala da  y unnoda amma va & unnoda father neya thitura da poraboku ----😠
None-of-the-above,S anchor feeling hot gym gay
None-of-the-above,Sudarsan Suku  🤣🤣🤣 Yana thala
None-of-the-above,; Intha link ah open panni parunga friends evunga yarunu..👆
Homophobia,UNGA APPA ENNORUTHA APPANODA SEX VEACHA NE VANTHA
None-of-the-above,Feel pannaathinga bro naanga irukko
None-of-the-above,Bro engineering yarru eppo kandupidcha ethuku nu sollunga
None-of-the-above,Surlirajan R.surlirajan  Ann tha. Uir
Misandry,Karthik Raja  dei unna maari aalunga lam innum irukeengala 🗣💦🌊 da ...... ninga setha ellam seri aagidum da
None-of-the-above,Dei avlotha unaku naa pudicha muyaluku moonu kaal nu solra aalu kitta la onnum panna mudiyadhu; ; I support durai anna
None-of-the-above,hari kumar  Mudiyadhu ; Neeye sollu
None-of-the-above,Mude Eirukkum Eidaam mano kudukkauoom.
None-of-the-above,Lathurshan Lathu   hai bro
None-of-the-above,Heart touching 😭😭😭😭😭😭😭😭😭😭😭 god bless you akkaaaaa I love you akkaa
Misandry,shinchan shinchan  nee periya pudunkiyaatam pesaa tha da iteam
Misogyny,Indha Wife ndra samacharame venaampa; Romba pandraaluga 😂😂😂😂
None-of-the-above,s.ravikumar s.ravikumar  neenga send pannuga
None-of-the-above,Malli Anitha  hmm pa u name malli ya my age 37 u
None-of-the-above,Avanga thnaga Sami avngala vera level waiting for part2
None-of-the-above,Nice bro enaku romba pudichi iruku
None-of-the-above,mack mani  ooooh arrange marriage la love illa nu sonna paru eppa 😂😂
Transphobic,kandaaroliga evlovo nallavagga erunthaalum intha maari Sila mentaluga naalatha paavam avagga moththa perukum kettaperu pls thaivu senju ipdi pandravaggala summa Vidatheega just thatti keluga baathikka pattavagluku supportah eruga
None-of-the-above,She is very cute...Kalla kabadam illa manasu
Transphobic,100 rupees kudutrupanga...andha thirunangai ku ..ok. ..adha. ..ipdi ...Mmm
None-of-the-above,Dai ethu alam oru show
Transphobic,Yedukurathu pitcha ithula thimuru vera ivanguluku
None-of-the-above,Anna sikram waiting for part 2
None-of-the-above,Already athu ella oorulayum nadakuthu maybe athu sattam aanalum agum karumom
None-of-the-above,Ivanga ethula act panni irukanga
None-of-the-above,Ansar Ansar  ungalukku eththina arivu?
None-of-the-above,மாளவிகா தமிழ்  athe thaan correct 😞😞😞
None-of-the-above,Jilla Muthu Ur watsapp number kudu dear
None-of-the-above,rocky bhai  unga name bro
Misogyny,Nee yella oru ponna di ippadi pesura ungalukku antha mari kolantha porakkanu appo theriyum athoda vali yenda unakku oru ponnu mela love yaaraavathu solliya varuthu athu unnoda feeling tha da athu mari thanda ithuvum athu thappunu nee sonna Gay ahvo lesbian ah vo poranthathu avanga thappu illa daa padacha antha kadavuloda thappu thannoda aasaya veliya solla mudiyama pidichatha seiya mudiyama irukkurathu naraga vethanai da neenga yaaru eathukka vena aana ippadi yella pesi kaaya paduthathinga avangaluku pudichamari eppothanda Vazhurathu uyirodu irunthu thannoda entha unarchiyaiyu velippaduthama uyiroda irunthu unarchi illatha oru pommai ah evlo peru vazhuranga theriyuma da
Counter-speech,Idhu actually enaku thappa thonudhu... Avanga rmba Nalavanga bro ipdi prank paniruka vendamae
None-of-the-above,Kandipa ......ooo savuku na varu va da......
Misandry,nerraj Samy  dei potta thayoli....aripedutha unga aathalukitta poda....uruvi viduva
None-of-the-above,Ethellam seri....ungaluku paliyal tollai varadunu yena nechayam.... sumavey poda potta... athu idu vanga... intha country la ponugalukey padukapillai... neenga yena agaporeengalo...; .
None-of-the-above,I to support LGBTQ !.......
None-of-the-above,thala sathish  nan irukata chellam
None-of-the-above,Karthi Keyan semma topic but ithellam panna mattaga
None-of-the-above,Puttamma Kaliyur I am Ganesh guy my no 7358621072
None-of-the-above,Love you so much bro
None-of-the-above,show nalla iruku but unga style la pannuga Gopinath sir ah copy pannathiga .avarea mathiri pesi
Misandry,Dai unna ellam nicka vachi saiyanu  da potta
None-of-the-above,Pudichavan pannitu pogatum ya vidunga da namaku enna vandhuchii 😷
Hope-Speech,mass bro..... nanum idha yellarukum theriya vekkanu ninacha.... NA GAY ILLA.. but idhu thappu ila avangalu pavam thats natural nu yelaruku theriya padutha aasa patra plz idea yedha erundha solunga... idhunaala yelarum ena kalaichalum social media la kindal panalu sari.... enaku idhu thappu ila apdinu yelaruku puriya vekkanum plzz.... give me some ideas...
None-of-the-above,pradeep bible nu sonna mattum pothum...kuttaya kolapa venam
None-of-the-above,Movie his Vara level ; Oru gay person Hoda life la real la avaga enna face panuvagalo adha pathi romba theliva story creat Pani irundhu iruku raga ; Pls subscribe LGBT community 🙏🙏🙏🙏🙏🙏. Movie last la konjum Vara Mari aduthutu poi irukalam . But paravala . Move is very level
None-of-the-above,Inthu yennudaya nanban ne inthu illai be veanum yendral sollikkollalam
None-of-the-above,Super film I love it
None-of-the-above,Arun Reports  pon namer sent me
None-of-the-above,Srini vasan  Thank you bro
None-of-the-above,i wish i can meet up with someone like kartik kumar
None-of-the-above,Ithe maari than da corona va kuda engayo oru edathula iruku nu kelvi pattom ipo pakkathu veetlaye vanthurchu ..ithaye samalika mudila athukula innoru virus ah .. 😒 vazhkai virus kuda poradiye poirum polaye .. 😒 90s kid ra naanu innu oru kalyanam kuda pannala ..
None-of-the-above,Dude ungga video ka romba waiting !!!
None-of-the-above,Dei prank nu short flim edukuringa..  full set up.. atleat dialogue  yachum nambura madiri ezudunga da
None-of-the-above,Annnna lesbian pathi solunga annaa
None-of-the-above,Thakuthyana  mapla ethirpakuraa penkitta mapla iku thakuthiyana varathatchana kekrathula thapilla
Hope-Speech,really good concept Anna yarum panala na patha varaikum spr and unga acting nalla eruku antha akka enaku epavum thirunangai romba pidikum itha pakum pothu innum athigama mariyathai and pasam varuthu love you akka
None-of-the-above,Ithulam parthu kuda en purushan nu puriyathu
Misandry,Saraku adichutu pasuran kana punda nee sathura da please....
None-of-the-above,Ivlo notice panna husbandskellam oru hatsoff
None-of-the-above,Yentha movie la act panirukanga
None-of-the-above,Super dude tq soo much
None-of-the-above,inum konjal ponah family kuliya sex panlanu soluvangah polah..............................
None-of-the-above,Thalaivaa andha saamy ku endha oru problem varama pathukonga pls🙏🙏🙏🙏
None-of-the-above,Madhuvanthi theyvai ellama vanthi eduthu  braminsukku prachanai gala undu pannuthu..; Appa YGM   koncham ponnu YGM Pesama irukka sonna Nalla irukkum; Ellanna epdi than channel ukku channel makka kaari thuppuvanga
None-of-the-above,Adi vangatha orae prank nu nenchan kadasila adichu putan concepts good bro
None-of-the-above,Modalla showa olunga paruda.....Avanga onu helicopterea kekala.....adula varunum than asapatanga
None-of-the-above,Bro avanga andha akka vera level romba pasama irukanga 100 varisham nalla irukanum
Xenophobia,Ippotu yup Tubill unarsy vasapaddu pesynaley ellorum; Poralikalaka maryvidukirarkal enra akka purvamana tamilinattay padukakkum sejatpadum illay alukkoru pechsu idu tan tamil tesyyama  tiravidankal seyta adey tavarukal meendum nadakkiratu pala per vay kiliya pesukirankal avankal tamilanaka unarkirankala enral illay enpadutan padilaka irukkum
None-of-the-above,Hi ram how are you enakum doubt irunthuthu ana enaku ennoda ella questionskum answer kedachirichu ok actually ninga oru teacherthana ninga problems a ignore panrathu overcome pannivarathuku pathila ninga atha face pannunga enna yaara irunthalum namaloda past solli atha pathiye pesi ungala hurt pannuvanga ana ninga ethukum react pannathinga..  naan mail panna ninga reply pannuvingala ninga reply pannanum nu vendam just ennoda mail padichitu oru message mattum pothum padichiten nu please naan ungaluku mail pannalama permission tharuvingala  apdi ninga ok sonningana naan nalaiku mail anuparen
Transphobic,10 percentage transgender tha urupadiyah erukanga..avangala tha Manam ketta endha Tamil cinema migai paduthi kaatudhu..meethi 90 percentage epdi thaa arajagam panitu theriuranga....soodu soranai elladhavanga
Misogyny,entha ilakiyathila irukadi p----- unna mathiri t-----
Misandry,Sattai duraimurugan oru porampokku.....Islamic nanbragalukku lady supply pannum broker paiye.......
None-of-the-above,Super model meeramithun eppo Panna poora
None-of-the-above,Dislike panna eppdi manasu varuthu..... cheee... Ennaku video paathu kannu kalangiruchu
None-of-the-above,Naa live la paathilaye poiten en mobile charger illama off aayitu bro irunthalum parava illa neenga happya irunga manasula ethaiyum pottu olapikkathinga bro saniyan ungala vittu tholaichathunu neanachukonga 🙏😌
None-of-the-above,Thirumalai Kumar   Athu epdi bro moon theriyama irukum
Misandry,Kandipa..... Aan aadhikam ku full stop aeh illa
None-of-the-above,Bro super vera level I am impressed 😍🥰
Xenophobia,mack mani  Un jaadhi karanungala vandhu ena oomba solu😂😂😂😂
None-of-the-above,Sathiyasiva T0509  Ungalukku Sisters Irukangala???
None-of-the-above,Dei coranave innum mudiyalaiye da.. Adhu kulla aduthadha...? Konjam rest kodunga da
Misogyny,Loosu koo mathri pesura... po di poruki munda...
None-of-the-above,Sara Vanan  hi ... Neenga Chennai ah
None-of-the-above,Naama love panlaam baby ♥ 😘
None-of-the-above,ummmmmaaa chelllam. I love u 😍😍😍😍😍😍😍😍😍😍😍
Misandry,Porampokkupasanga. VAIRAMUTHU NAYA.LET THE PORUKKI NAYA.
None-of-the-above,Yen ungaluku dance avlo pudikuma . pesurathu kettu aadura alavuku dancer ah neenga .. Naangalam paatuku than dance aaduvom😁
None-of-the-above,loh jen# ur there sis...
Counter-speech,Ambala Pombala vesam podala pa athu original thirunangai than..avanga pannathu thapputhan athukunu ambalanu sollatha pa nan work panren apdi trainukum kadaikum vasuluku porathu illai yaraum antha mathiri peasrathum illa oruthar panra thappuku eloraum peasathinga pls
Misandry,S K  Ella unakku lover erunthu anuppi Vai; ..Ava pundaya kilichi anupiren
Misogyny,Po di cena devi paavadai pannadai porambokku illuminaati eena piraviye!Raja sir kaal thoosikku samamillai nee!thooo!oc biriyaani thinnutu kaasu kudukkaadha dmk katchi sori naaye!
None-of-the-above,narayanan gopalakrishnan  ; ; ; ; ; ; Ki
Hope-Speech,Don't feel ram Ellam nallathe nadakkum.
Misandry,S K  adei vantheri aariya virunthalikku porantha thevidiya payale... unpondatti pundaya kilichiduven.. ungomma pundaila en Pola Vidava..un ponnaium anuppi Vai .. pundaya kilichi anupiren.. thevidiya payale
Hope-Speech,Avangala...mathiri ...thirunaakkai allam ...god ku .. equal bro.....
None-of-the-above,catholicdan yesus  sari yaru CM aana naadu nalla erukum you tell me
None-of-the-above,Mudiyala da azooo dudooo weeen🤣🤣🤣🤣🤣
None-of-the-above,Mahin Fathima  ahhhh 😂pavo cmnt ku content kedikala pola
None-of-the-above,Aakash Aakash   i am Vellore ❤️
None-of-the-above,Fake Prank..Planned prank...But Real ah irundha nalla irundhurkum...
None-of-the-above,Kadavul pa avanga... Azhuduten nan
None-of-the-above,Anbu Siddhu  ; Hi to
Counter-speech,Padichan purinjukran padikathan thappa nenaimran..... Feeelings  ellarkum maaru.. aduthava ga feeling aah purinjukanum.....
None-of-the-above,tamil vijay   call me
None-of-the-above,Unmai ya aluthutaya yow reyaly greate ya
Misogyny,Muthulakshmi muthulakshmi Eroad enna ungapppa vanguna ur ah ila ni poitu vanguna ur ennamo kevalama pottuiruka mariyathaiya comments podu ponu pakurn Ilana naridum mind ur words
None-of-the-above,Unga partner kuda video podunga
None-of-the-above,Rompa santhosam varuttum Tamil Nadu Chicken price ippo 250 koraiyattum
Misogyny,Ponna adhu?🙄🤔🤔🤔 Apo payyan ilaiya
None-of-the-above,Itha pona lockdown layum panni irukkanum❤️
None-of-the-above,544 akash  whaspp varalama bro
None-of-the-above,Ha poi poi 🔥🔥🔥 vera level
Misandry,Enda ungaluku pasanga adivanguna comedy fun uh. Ponunga adivangana case and news. Otha nalla samugam
None-of-the-above,SEMA akka I like you 😍
None-of-the-above,Semma bro naa ungaloda fan bro thamizhanda 😍😎
Misogyny,Vara vachi ava sootha nakku
None-of-the-above,Magi Priya  very gud morning
Xenophobia,First China va Kundu vatchu thukkanum
Counter-speech,Paiyan Veetla dowry demand panna thappu illa madriye en ellarum pesuringa? Ponnu yaarta kekura? Avanga appa Amma Kita.. unga appa Amma Kita neenga epdi property veedu nu vanguringalo..athe madri Ava vangura..athu thappa?
None-of-the-above,ஸ்ரீ A   u age
None-of-the-above,Part 2 eppo bro plzz solluga
None-of-the-above,I like this video 😘😘😘
None-of-the-above,Oh super unga voice super ❤
None-of-the-above,irukiravanga kettu vanguranga ilathavanga ena pandrathu veetu car 50 60 savaran thantha than nalla iruka mudiyum na anga mathika padurathu panamum nagaium than pengal alla so intha question um sari ila aangalum pengalum ketpathum sari ila
None-of-the-above,but tamilnattula maraimugama palagunatthan undu public yetthukidamattanga
None-of-the-above,cassia 42  apa ungaluku life le nala valuvom nambika ilaya?adutavan kasule oosile valata asaya
None-of-the-above,kamalakannan vetri tamilla sollunga 🤗
None-of-the-above,Iththa akkava paththi solla varththaje illa 😊
Transphobic,indha nai ku.......veara....veala.....illa indha character ampalaya...pompalaya ney tereyala....taan peasuradu tappanadu nu kuda tereyama...loosu matre peasiki2 irukudhu naiii naiii😡😡😡😡😡
Misandry,புரட்சியாளன் சுபா  my son....naa sonnadha apdiya enakke rivet adikriya....unakku adhu set aagala....real aave unga amma pundaiya poii parru....naa kadicha kayam anga irukkum.....Chellam apdidha una pethom....
Hope-Speech,innocent Raj  ❤️ namba aal sema spotive uh pesuraru paaru vera level 🔥
None-of-the-above,Vera level nanba video  mass🙏
None-of-the-above,Akka last vara silent 💞
None-of-the-above,Mani kanta r Mani aavigal is America Solanki sir  call பண்ணலாமா
Counter-speech,Avanga kadavul nambikkai irukkuravanga nu avanga sonnangala? Apram edha vachi u r going to hell nu kathitu irukeengala?
None-of-the-above,Super akka vera level niga🔥🔥🔥🔥🔥🔥🔥🔥♥️♥️♥️♥️💪
None-of-the-above,Atha kettathu avangaloda appavum unogaloda appavum.ethuku neenga yen da sanda poduringaa
Homophobia,unga amma homosexual vachi iruntha nee yepdi poranthu iruppa naya arivu illa pannada orina serkkai kadavulukku aruvaruppana onnu naya athala unarvu vera varutha unakku naya saniyana azhiya pora nee. nee yenna kattu pada irukka naya oru aanum aanum oru pennum pennum irukkuraththu thappu d naya
None-of-the-above,Na Unga fan's bro semaya iruku bro unga video😍
None-of-the-above,Dharanilakshmi Balasubramanian Ena sollringa friend
None-of-the-above,Yov ne manusaney illa ya; ... kanla thanni vanthuchu ya..... pah aluga varuthu..... vera level ya neenga....;  Manusan ya
None-of-the-above,prasan kumar  pon namer sent me
Misandry,Dei echa raja tevudiya payale nee ethana perukuda poranda badu
Hope-Speech,Aluga vanthutupa pavampa transgenders Namma samuthayam avangaluku oru help pannumpa
None-of-the-above,V Nayaki  ; Thanku அம்மா
Misandry,Dai naya poda.....mutta ponda......ayyar ponda....
Hope-Speech,Akka nega 100 varusam santhosama erkanum akka
None-of-the-above,Thu munja paru public toilet pola
Misandry,Ivangala Yarra uyiroda Vala sonnathu intha polappukku poi thookkula thongalam thu
Misandry,Dai kotha can I get your mob numbers
Hope-Speech,S sis . Nallavangalum irukanga...ungala Madhiri...
None-of-the-above,Eppo upload panna episode edhu date solluga plizzzz
Xenophobia,Dai first intha china karana kollanum
Misandry,Nee Bala yilla ba ku badhilaa poo nu vachyu poolaa nu un peyara vachyukko poruthamaa yirukkum saavadikyanam na soldra
Misandry,Ada paythyangalaa evanaadhu bayandhu vandyla modhikiita sethruvaaanda; Kola casela ulla poyiduvada
Misogyny,Gh Wb   Gh Wb  ungomma seal ...un pondatti seal...un lover seal...un ponnu seal...in Akka Thangachi seal...Ella sealaium naanthanda kilichen... pundaya kilichi anupiren...poi Nalla villakku pudichiu paaru da kandara Oli mavane
Counter-speech,And sothu yan anna nuku nu oru appa amma sollranga na avan ve2la erukura ponu kalyanathuku vanguna kadatha andha paiyan dhan adaikuran apdi pakumbothu andha edathoda value equal dhan...
